	0	1	2
166	81.3	20.7	2
167	115.8	20.4	2
168	124.8	24.0	2
169	73.9	20.2	2
170	81.6	16.2	2
171	84.6	15.9	2
172	82.6	14.7	2
173	75.7	14.6	2
174	83.6	17.5	2
175	85.9	20.0	2
176	99.4	20.1	2
177	81.2	19.5	2
178	98.3	21.7	2
179	114.6	23.7	2
180	110.2	23.6	2
181	99.3	23.8	2
182	106.0	23.2	2
183	110.6	24.3	2
184	98.1	22.4	2
185	98.5	22.0	2
186	64.6	22.3	2
187	67.7	17.9	2
188	59.3	17.0	2
189	68.6	17.6	2
190	69.1	17.5	2
191	73.6	18.7	2
192	86.9	21.3	2
193	125.9	25.2	2
194	85.3	25.0	2
195	89.0	24.0	2
196	105.3	26.2	2
197	98.2	19.0	2
198	61.2	15.1	2
199	65.8	17.9	2
200	80.5	21.4	2
201	109.4	23.6	2
202	74.6	23.5	2
203	81.5	23.1	2
204	71.8	20.5	2
205	66.9	19.3	2
206	83.4	20.1	2
207	120.1	21.8	2
208	83.0	21.1	2
209	127.8	22.9	2
210	109.3	22.2	2
211	95.9	20.6	2
212	133.8	23.5	2
213	100.5	20.5	2
214	55.9	18.2	2
215	100.1	20.5	2
216	107.0	21.5	2
217	125.1	23.8	2
218	120.9	24.2	2
219	109.1	21.7	2
220	93.0	22.1	2
221	84.3	21.1	2
222	90.0	22.4	2
223	80.4	22.7	2
224	84.1	23.6	2
225	68.2	24.0	2
226	97.8	24.8	2
227	121.8	25.2	2
228	134.5	24.8	2
229	118.2	26.3	2
230	120.3	26.9	2
231	126.0	27.7	2
232	92.6	24.8	2
233	89.7	22.1	2
234	88.5	20.4	2
235	116.0	24.6	2
236	100.3	21.5	2
237	84.3	21.7	2
238	112.9	23.6	2
239	86.2	22.6	2
240	77.6	18.4	2
241	81.8	18.0	2
242	87.5	20.3	2
243	97.9	23.0	2
244	74.8	21.3	2
245	64.1	21.2	2
246	60.3	17.0	2
247	70.6	14.7	2
248	69.0	16.0	2
249	71.0	17.9	2
250	84.2	19.3	2
251	100.4	20.2	2
252	120.1	19.8	2
253	95.7	18.0	2
254	70.9	17.3	2
255	79.6	17.1	2
256	76.9	14.4	2
257	46.6	14.3	2
258	27.6	16.3	2
259	65.4	18.7	2
260	56.7	19.2	2
261	77.0	18.7	2
262	68.2	18.5	2
263	95.4	20.0	2
264	79.7	20.2	2
265	69.5	19.8	2
266	99.0	19.5	2
267	84.7	18.4	2
268	57.8	17.6	2
269	81.8	18.8	2
270	60.3	18.9	2
271	81.8	18.7	2
272	80.1	17.6	2
273	93.3	18.1	2
274	69.1	16.0	2
275	67.2	14.7	2
276	78.7	16.1	2
277	49.4	15.6	2
278	48.3	19.2	2
279	82.7	20.7	2
280	82.3	18.4	2
281	45.5	17.8	2
282	47.7	17.0	2
283	64.6	15.0	2
284	66.7	11.9	2
285	63.6	9.7	2
286	64.3	7.3	3
287	50.0	3.7	1
288	47.5	6.6	3
289	54.0	6.8	3
290	59.7	5.9	3
291	32.2	5.8	3
292	20.4	7.9	3
293	21.9	10.9	2
294	34.7	13.3	2
295	48.4	12.2	2
296	34.3	10.6	2
297	29.9	13.7	2
298	55.1	13.8	2
299	42.9	11.6	2
300	21.1	11.5	2
301	19.0	11.9	2
302	20.3	10.1	2
303	24.0	10.5	2
304	49.8	11.4	2
305	53.5	10.4	2
306	52.3	8.6	3
307	56.1	10.1	2
308	60.4	8.5	3
309	43.0	8.2	3
310	41.8	7.2	3
311	46.4	6.5	3
312	42.7	6.4	3
313	24.3	6.4	3
314	34.5	6.5	3
315	33.1	7.5	3
316	26.7	11.4	2
317	38.0	12.2	2
318	49.7	11.7	2
319	36.8	13.2	2
320	31.2	13.9	2
321	48.0	14.2	2
322	13.6	11.3	2
323	10.3	10.4	2
324	7.8	8.8	3
325	64.3	11.1	2
326	73.5	10.4	2
327	69.8	11.2	2
328	50.6	10.3	2
329	69.3	10.8	2
330	51.9	9.2	3
331	50.2	9.1	3
332	49.7	9.3	2
333	71.6	4.9	3
334	53.0	5.0	3
335	35.6	4.6	1
336	48.5	5.7	3
337	68.3	5.2	3
338	42.1	4.1	1
339	40.5	7.5	3
340	45.8	9.6	2
341	72.2	7.5	3
342	42.4	6.0	3
343	50.2	5.9	3
344	59.3	6.1	3
345	34.6	2.6	1
346	42.4	0.5	0
347	28.0	-0.7	0
348	24.2	-2.2	0
349	24.1	-2.6	0
350	31.6	-2.3	0
351	23.1	-2.6	0
352	39.5	-5.5	0
353	41.0	-4.6	0
354	53.2	1.8	1
355	53.7	6.6	3
356	58.8	5.3	3
357	25.1	4.7	1
358	62.8	6.1	3
359	56.4	1.6	1
360	47.9	2.8	1
361	48.8	3.5	1
362	27.4	6.2	3
363	49.2	9.2	3
364	42.7	7.6	3
